id,purchase_cuit_required,purchase_alicuots,validator_id/id
dc_a_f,True,not_zero,validator_numero_factura
dc_a_nd,True,not_zero,validator_numero_factura
dc_a_nc,True,not_zero,validator_numero_factura
dc_a_r,True,not_zero,validator_numero_factura
dc_a_nvc,True,not_zero,validator_numero_factura
dc_b_f,True,zero,validator_numero_factura
dc_b_nd,True,zero,validator_numero_factura
dc_b_nc,True,zero,validator_numero_factura
dc_b_r,True,zero,validator_numero_factura
dc_b_nvc,True,zero,validator_numero_factura
dc_c_f,True,zero,validator_numero_factura
dc_c_nd,True,zero,validator_numero_factura
dc_c_nc,True,zero,validator_numero_factura
dc_aduana,,,
dc_c_r,True,zero,validator_numero_factura
dc_c_nvc,True,zero,validator_numero_factura
dc_e_f,True,not_zero,validator_numero_factura
dc_e_nd,True,not_zero,validator_numero_factura
dc_e_nc,True,not_zero,validator_numero_factura
dc_e_fs,True,not_zero,validator_numero_factura
dc_usados,,,
dc_mandato,,,
dc_reciclado,,,
dc_a_rg1415,True,not_zero,validator_numero_factura
dc_b_rg1415,True,zero,validator_numero_factura
dc_c_rg1415,True,zero,validator_numero_factura
dc_nd_rg1415,True,not_zero,validator_numero_factura
dc_nc_rg1415,True,not_zero,validator_numero_factura
dc_a_o_rg1415,True,not_zero,validator_numero_factura
dc_b_o_rg1415,True,zero,validator_numero_factura
dc_c_o_rg1415,True,zero,validator_numero_factura
dc_a_rf,True,not_zero,validator_numero_factura
dc_m_f,True,not_zero,validator_numero_factura
dc_m_nd,True,not_zero,validator_numero_factura
dc_m_nc,True,not_zero,validator_numero_factura
dc_m_r,True,not_zero,validator_numero_factura
dc_m_nvc,True,not_zero,validator_numero_factura
dc_m_rg1415,True,not_zero,validator_numero_factura
dc_m_o_rg1415,True,not_zero,validator_numero_factura
dc_m_cvl,True,not_zero,validator_numero_factura
dc_m_l,True,not_zero,validator_numero_factura
dc_a_cvl,True,not_zero,validator_numero_factura
dc_b_cvl,True,zero,validator_numero_factura
dc_a_l,True,not_zero,validator_numero_factura
dc_b_l,True,zero,validator_numero_factura
dc_nc,,,validator_numero_factura
dc_desp_imp,True,not_zero,validator_despacho
dc_imp_serv,,,validator_despacho
dc_c_l,True,not_zero,validator_numero_factura
dc_rfc,True,not_zero,validator_numero_factura
dc_cfcp,,,
dc_f1116,,,
dc_cptag,,,
dc_cptfg,,,
dc_zeta,,,
dc_a_t,True,not_zero,validator_numero_factura
dc_b_t,True,zero,validator_numero_factura
dc_t,True,zero,validator_numero_factura
dc_sp_c,,,
dc_sp_nc,,,
dc_sp_nd,,,
dc_oc_se,,,
dc_oc_c,,,
dc_oc_nd,,,
dc_oc_nc,True,not_zero,validator_numero_factura
dc_r_r,,,validator_numero_factura
dc_ac_inc_df,,,
dc_ac_dis_df,,,
dc_ac_inc_cf,,,
dc_ac_dis_cf,,,
dc_f1116b,,,
dc_f1116c,,,
dc_oc_ncrg3419,True,not_zero,
dc_aa_dj_pos,,,
dc_aa_dj_neg,,,
dc_na,,,
dc_nca,,,
dc_recibo_x,,,validator_numero_factura
dc_remito_x,,,validator_numero_factura
dc_orden_pago_x,,,validator_numero_factura
fa_exterior,,,
nc_exterior,,,
dc_liq_s_a,True,not_zero,
dc_liq_s_b,False,zero,
dc_com_a_m,,,
dc_con_a_m,,,
dc_com_b_m,,,
dc_con_b_m,,,
dc_liq_uci_a,True,not_zero,
dc_liq_uci_b,True,zero,
dc_liq_uci_c,,,
dc_liq_prim_gr,,,
dc_nc_liq_uci_a,True,zero,
dc_nc_liq_uci_b,,,
dc_nd_liq_uci_a,True,not_zero,
dc_nd_liq_uci_b,True,zero,
dc_nd_liq_uci_c,,,
dc_nc_liq_uci_c,True,not_zero,
dc_bs_no_reg,,,
dc_t_nc,True,not_zero,validator_numero_factura
dc_t_c,True,zero,validator_numero_factura
dc_t_nc_a,True,not_zero,validator_numero_factura
dc_t_nc_b,True,zero,validator_numero_factura
dc_t_nc_c,True,zero,validator_numero_factura
dc_t_nd_a,True,not_zero,validator_numero_factura
dc_t_nd_b,True,zero,validator_numero_factura
dc_t_nd_c,True,zero,validator_numero_factura
dc_t_m,True,not_zero,validator_numero_factura
dc_t_nc_m,True,not_zero,validator_numero_factura
dc_t_nd_m,True,not_zero,validator_numero_factura
dc_liq_sec_gr,,,
dc_cert_ele_gr,,,
